1,95506145
2,95506143
3,95506143
4,95506144
5,95506144
6,95506145
7,95506146
8,95506146
9,95506146
10,95506147
11,95506146
12,95506146
13,95506147
14,95506147
15,95506147
16,95506147
17,95506146
18,95506150
19,95506150
20,95506150
21,95506150
22,95506148
23,95506148
24,95506150
25,95506149
26,95506149
27,95506151
28,95506150
29,95506149
30,95506150
31,95506151
32,95506151
33,95506153
34,95506154
35,95506154
36,95506155
37,95506156
38,95506158
39,95506158
40,95506157
41,95506159
42,95506159
43,95506160
44,95506159
45,95506161
46,95506160
47,95506157
48,95506159
49,95506159
50,95506160
51,95506161
52,95506163
53,95506163
54,95506162
55,95506161
56,95506161
57,95506162
58,95506161
59,95506161
60,95506161
61,95506164
62,95506166
63,95506166
64,95506166
65,95506166
66,95506166
67,95506166
68,95506166
69,95506167
70,95506168
71,95506167
72,95506168
73,95506166
74,95506168
75,95506167
76,95506167
77,95506167
78,95506167
79,95506167
80,95506167
81,95506167
82,95506170
83,95506170
84,95506170
85,95506173
86,95506173
87,95506173
88,95506174
89,95506174
90,95506174
91,95506174
92,95506175
93,95506173
94,95506173
95,95506175
96,95506176
97,95506177
98,95506177
99,95506176
100,95506175
101,95506175
102,95506175
103,95506176
104,95506177
105,95506178
106,95506178
107,95506179
108,95506179
109,95506177
110,95506178
111,95506178
112,95506178
113,95506182
114,95506182
115,95506184
116,95506184
117,95506183
118,95506183
119,95506181
120,95506182
121,95506184
122,95506184
123,95506186
124,95506186
125,95506188
126,95506186
127,95506187
128,95506187
129,95506189
130,95506190
131,95506189
132,95506188
133,95506186
134,95506186
135,95506187
136,95506189
137,95506190
138,95506190
139,95506189
140,95506189
141,95506190
142,95506192
143,95506193
144,95506192
145,95506192
146,95506195
147,95506195
148,95506194
149,95506194
150,95506194
151,95506196
152,95506195
153,95506196
154,95506197
155,95506195
156,95506198
157,95506198
158,95506198
159,95506199
160,95506198
161,95506199
162,95506197
163,95506197
164,95506200
165,95506200
166,95506201
167,95506202
168,95506200
169,95506201
170,95506201
171,95506203
172,95506203
173,95506203
174,95506205
175,95506205
176,95506205
177,95506205
178,95506205
179,95506205
180,95506205
181,95506205
182,95506207
183,95506207
184,95506209
185,95506209
186,95506209
187,95506208
188,95506209
189,95506210
190,95506210
191,95506209
192,95506209
193,95506209
